Independent Features,Networth,prediction
"[696.0,80040.0,33.0]",80040,80040.0
"[769.0,88435.0,34.0]",88435,88435.0
"[921.0,105914.0,23.0]",105914,105914.0
"[1215.0,139725.0,23.0]",139725,139725.0
"[1825.0,209874.0,40.0]",209874,209874.0
"[2073.0,238394.0,11.0]",238394,238394.0
"[3450.0,396749.0,34.0]",396749,396749.0
"[3816.0,438839.0,43.0]",438839,438839.0
"[3934.0,452409.0,10.0]",452409,452409.0
"[4914.0,565110.0,49.0]",565110,565110.0
"[5786.0,665390.0,42.0]",665390,665390.0
"[6986.0,803389.0,34.0]",803389,803389.0
"[7034.0,808909.0,27.0]",808909,808909.0
"[7443.0,855944.0,38.0]",855944,855944.0
"[7529.0,865834.0,45.0]",865834,865834.0
"[7870.0,905049.0,31.0]",905049,905049.0
"[7961.0,915514.0,47.0]",915514,915514.0
"[8433.0,969794.0,27.0]",969794,969794.0
"[8445.0,971174.0,20.0]",971174,971174.0
"[8480.0,975199.0,42.0]",975199,975199.0
"[8741.0,1005214.0,48.0]",1005214,1005214.0
"[8987.0,1033504.0,24.0]",1033504,1033504.0
"[9079.0,1044084.0,28.0]",1044084,1044084.0
"[9097.0,1046154.0,20.0]",1046154,1046154.0
"[9443.0,1085945.0,43.0]",1085945,1085945.0
